permit_service_name,permit_service_type,document_name,document_type,source_url,source_title,section_path,source_document_id,chunk_id,evidence_text,condition_text
4대 보험,permit_service,고용보험 근로자 피보험자격취득 신고서,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_77476cfed1f521,"√ 고용보험 근로자 피보험자격취득 신고서, 산재보험 근로자 자격취득 신고서( 「고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행규칙」 제16조의7 제1항제1호 및 별지 제22호의5서식 )",
4대 보험,permit_service,당연적용사업장 신고서,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_a4556fbc2da1ed,주한 외국 기관으로서 1명 이상의 대한민국 국민인 근로자를 사용하는 사업장 사업자의 신고 사용자는 당연적용사업장이 된 날이 속하는 달의 다음 달 15일까지 다음 서류를 공단에 제출해야 합니다,당연적용사업장의 해당신고서 제출 의무
4대 보험,permit_service,보험가입 성립신고서,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_77476cfed1f521,※ 4대 보험 가입 등에 관한 더 자세한 내용은 『 4대사회보험 정보연계센터 가입대상 』에서 확인할 수 있습니다.,사업주와 근로자가 고용보험 및 산업재해보상보험의 보험관계가 성립한 날부터 14일 이내에 첨부해 근로복지공단에 보험관계의 성립 신고를 해야 함
4대 보험,permit_service,보험관계 성립신고서,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_77476cfed1f521,√ 보험관계 성립신고서( 「고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행규칙」 제7조 제1항 및 별지 제2호서식 ),
4대 보험,permit_service,사업자등록증 사본,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_a4556fbc2da1ed,"√ 사업자등록증 사본(공단이 「전자정부법」 에 따라 행정정보의 공동이용을 통해 사업자등록증 및 법인 등기사항증명서를 확인하는데, 신고인이 사업자등록증명을 확인하는 것에 동의하지 않은 경우에 한함)",
4대 보험,permit_service,사업장적용신고서,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_a4556fbc2da1ed,√ 사업장(기관)적용신고서( 「국민건강보험법 시행규칙」 별지 제2호서식 ),
4대 보험,permit_service,직장가입자자격취득신고서,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_a4556fbc2da1ed,√ 직장가입자자격취득신고서( 「국민건강보험법 시행규칙」 별지 제6호서식 ),
4대보험 가입,permit_service,공단 승인 필요,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=4&cciNo=1&cnpClsNo=2,4대보험 가입,4대보험 가입 > 산업재해보상보험의 가입 가입 대상 「산업재해보상보험법」 은 근로자를 사용하는 모든 사업 또는 사업장에,easylaw_840_body_ov_csmSeq_840_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_54877f253c3ab3,「산업재해보상보험법」 제6조 단서에 따라 「산업재해보상보험법」 을 적용하지 않는 사업의 사업주는 공단의 승인을 받아 산재보험에 가입할 수 있습니다,제6조 단서에 따라 산업재해보상보험법을 적용하지 않는 사업의 사업주는 공단의 승인을 받아 산재보험에 가입할 수 있습니다
4대보험 가입,permit_service,교육이수증,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=4&cciNo=1&cnpClsNo=2,4대보험 가입,4대보험 가입 > 고용보험의 가입 가입 대상 근로자를 사용하는 모든 사업 또는 사업장은 「고용보험법」 의,easylaw_840_body_ov_csmSeq_840_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_9b1b4b06f87f87,인쇄체크 고용보험의 가입 가입 대상 근로자를 사용하는 모든 사업 또는 사업장은 「고용보험법」 의 적용을 받으며,
4대보험 가입,permit_service,교육이수증,document,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=840&ccfNo=4&cciNo=1&cnpClsNo=2,4대보험 가입,4대보험 가입 > 고용보험의 가입 가입 대상 근로자를 사용하는 모든 사업 또는 사업장은 「고용보험법」 의,easylaw_840_body_ov_csmSeq_840_ccfNo_4_cciNo_1_cnpClsNo_2,evchunk_9b1b4b06f87f87,근로자( 「고용보험법」 제10조 및 제10조의2 에 따른 적용 제외 근로자는 제외함)는 당연히 고용보험의 보험가입자가 됩니다,
