node_id,node_type,name,normalized_name,source_document_id,chunk_id,source_type,source_url,title,section_path,claim_count
n_f003a4f943e3d63c,admin_business_type,4대 보험,4대 보험,easylaw_706_body_ov_csmSeq_706_ccfNo_4_cciNo_2_cnpClsNo_2,evchunk_a4556fbc2da1ed,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=706&ccfNo=4&cciNo=2&cnpClsNo=2,4대 보험,4대 보험 > 한 명의 근로자라도 고용한 경우에는 4대 보험에 의무적으로 가입해야 합니다.,1
n_cebe5298f87671f4,admin_business_type,상가건물 임대차계약,상가건물 임대차계약,easylaw_839_body_ov_csmSeq_839_ccfNo_2_cciNo_2_cnpClsNo_1,evchunk_2f28f0de1712d1,easylaw,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=839&ccfNo=2&cciNo=2&cnpClsNo=1,임대차계약,임대차계약 > 임대차계약이란?,1
n_e3de35a79ef86605,admin_business_type,식품제조가공업,식품제조가공업,gov24_food_business_report,evchunk_9aba1539c4c8a8,gov24,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 근거법령,1
n_91051ce7e714c167,admin_business_type,일반음식점영업,일반음식점영업,law_식품위생법_시행령,evchunk_b5f18c78826863,law.go.kr,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&ID=004097&type=JSON,식품위생법 시행령 제21조 영업의 종류,식품위생법 시행령 제21조 영업의 종류,8
n_92687dd71335ff61,admin_business_type,제과점영업,제과점영업,ontology_seed,evchunk_9dddfe6a5ea01c,ontology,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,cafe_restaurant_mvp ontology seed,seed_claims,1
n_99d3ebfae0d2908a,admin_business_type,즉석판매제조·가공업,즉석판매제조·가공업,ontology_seed,,ontology,,cafe_restaurant_mvp ontology seed,seed_claims,1
n_dd04517bf09d6c44,admin_business_type,즉석판매제조가공업,즉석판매제조가공업,gov24_food_business_report,evchunk_64284a635e9064,gov24,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,식품관련영업신고,식품관련영업신고 > 서비스 개요,1
n_3c42220bf9c49fa6,admin_business_type,통신판매업,통신판매업,gov24_ecommerce_report,evchunk_38f30dc4fcf695,gov24,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=11300000006&HighCtg=,통신판매업신고,통신판매업신고 > 서비스 개요,1
n_95fa61da9868ce7f,admin_business_type,휴게음식점영업,휴게음식점영업,law_식품위생법_시행령,evchunk_b5f18c78826863,law.go.kr,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&ID=004097&type=JSON,식품위생법 시행령 제21조 영업의 종류,식품위생법 시행령 제21조 영업의 종류,10
n_715fed4841608a43,business_alias,고기집,고기집,law_식품위생법_시행령,evchunk_b5f18c78826863,law.go.kr,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&ID=004097&type=JSON,식품위생법 시행령 제21조 영업의 종류,식품위생법 시행령 제21조 영업의 종류,1
