district_code,district_name,graph_function_key,local_task_key,local_task_label,actual_department_name,actual_team_name,phone,jurisdiction_level,source_url,source_title,evidence_text,last_verified_date,office_name,office_address,office_postal_code,office_latitude,office_longitude,office_location_scope,office_location_source_url,office_location_source_title,office_geocode_source,office_geocode_status,office_location_last_verified_date
11110,종로구,food_hygiene,food_business_report,식품관련영업신고 및 영업신고증,보건정책과,식품위생팀,02-2148-3527,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11110,종로구,food_hygiene,food_admin_disposition_history,기존 업소 행정처분 이력 확인,보건정책과,식품위생팀,02-2148-3527,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11110,종로구,building_register_use,building_register_issue,건축물대장 발급 및 열람,부동산정보과,,,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11110,종로구,building_register_use,building_use_review,건축물 용도 적합성 확인,건축과,,,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11110,종로구,building_register_use,building_violation_review,위반건축물 여부 확인,건축과,,,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11110,종로구,fire_safety,fire_safety_completion,안전시설등 완비증명서,관할 소방서,,119 또는 관할 소방서 민원실,fire_station,https://fire.seoul.go.kr,서울소방재난본부,안전시설등 완비증명서는 구청 부서가 아니라 관할 소방서 계열 업무로 분리,2026-06-13,사업장 주소 기준 관할 소방서,사업장 주소 기준 관할 소방서 민원실,,,,business_address_based_fire_station,https://fire.seoul.go.kr,서울소방재난본부,not_geocoded,business_address_required,2026-06-13
11110,종로구,outdoor_ad,outdoor_ad_report,옥외광고물 표시허가 및 신고,가로정비과,광고물관리팀,02-2148-2742,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11110,종로구,road_occupation,road_occupation_permit,도로점용허가,도로과,,,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
11110,종로구,tax_registration,business_registration,사업자등록 신청,관할 세무서 또는 홈택스,,국세상담센터 126,national_tax_office,https://www.hometax.go.kr,국세청 홈택스,사업자등록은 구청 인허가 이후 관할 세무서 또는 홈택스에서 처리하는 전국 공통 흐름,2026-06-13,홈택스 또는 사업장 주소 기준 관할 세무서,온라인 홈택스 또는 사업장 주소 기준 관할 세무서,,,,online_or_business_address_based_tax_office,https://www.nts.go.kr/nts/imArea/selectImAreaNmList.do?mi=6762,국세청 전국 세무관서,not_geocoded,business_address_required,2026-06-13
11110,종로구,ecommerce_local_economy,ecommerce_report,통신판매업신고,일자리정책과,유통관리팀,02-2148-1744,district,https://www.jongno.go.kr/,종로구청 공식 홈페이지 부서/동주민센터 목록,"종로구청 공식 홈페이지 부서/동주민센터 목록에서 보건정책과, 지역경제과, 일자리정책과, 건축과, 부동산정보과, 가로정비과, 도로과 등 관련 부서를 확인.",2026-06-13,종로구청,서울특별시 종로구 삼봉로 43,03153,37.5723031,126.9808398,district_office,https://www.seoul.go.kr/seoul/autonomy.do,서울특별시 자치구,static_snapshot,static_snapshot_no_api_key,2026-06-13
